tables,as,as_label,Pull Request/Issue,parents_as,parents_as_label,references
skeleton,https://purl.org/ccf/ASCTB-TEMP_acetabular-fossa-of-os-coxa,acetabular fossa of os coxa,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_acetabular-notch-of-os-coxa,acetabular notch of os coxa,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_acetabulum-of-os-coxa,acetabulum of os coxa,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_acromial-process-of-scapula,acromial process of scapula,,UBERON:0006849,scapula,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_alae-of-sacrum,alae of sacrum,,UBERON:0003690,fused sacrum,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_alveolar-border-of-mandible,alveolar border of mandible,,UBERON:0001684,mandible,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_anterior-arch-of-first-cervical-vertebra,anterior arch of first cervical vertebra,,UBERON:0001092,vertebral bone 1,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_anterior-clinoid-process-of-sphenoid-bone,anterior clinoid process of sphenoid bone,,UBERON:0001677,sphenoid bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_anterior-ethmoidal-foramen-of-ethmoid-bone,anterior ethmoidal foramen of ethmoid bone,,UBERON:0001679,ethmoid bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_anterior-gluteal-line-of-ilium-of-os-coxa,anterior gluteal line of ilium of os coxa,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_anterior-inferior-iliac-spine-of-ilium-of-os-coxa,anterior inferior iliac spine of ilium of os coxa,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_anterior-sacral-foramina-of-sacrum,anterior sacral foramina of sacrum,,UBERON:0003690,fused sacrum,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_anterior-superior-iliac-spine-of-ilium-of-os-coxa,anterior superior iliac spine of ilium of os coxa,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_anterior-tubercle-of-first-cervical-vertebra,anterior tubercle of first cervical vertebra,,UBERON:0001092,vertebral bone 1,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_anterolateral-tubercle-of-tibia,anterolateral tubercle of tibia,,UBERON:0000979,tibia,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_arcuate-line-of-ilium-of-os-coxa,arcuate line of ilium of os coxa,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_articular-surface-for-cuboid-bone-of-calcaneus,articular surface for cuboid bone of calcaneus,,UBERON:0001450,calcaneus,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_articular-tubercle-of-squamous-part-of-temporal-bone,articular tubercle of squamous part of temporal bone,,UBERON:0001678,temporal bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_auricular-surface-of-ilium-of-os-coxa,auricular surface of ilium of os coxa,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_base-of-first-distal-phalanx-of-foot,base of first distal phalanx of foot,,UBERON:0004315,distal phalanx of pedal digit 1,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_base-of-first-distal-phalanx-of-hand,base of first distal phalanx of hand,,UBERON:0004337,distal phalanx of manual digit 1,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_base-of-first-proximal-phalanx-of-foot,base of first proximal phalanx of foot,,UBERON:0004332,proximal phalanx of pedal digit 1,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_base-of-first-proximal-phalanx-of-hand,base of first proximal phalanx of hand,,UBERON:0004338,proximal phalanx of manual digit 1,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_body-of-calcaneus,body of calcaneus,,UBERON:0001450,calcaneus,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_body-of-second-cervical-vertebra,body of second cervical vertebra,,UBERON:0001093,vertebral bone 2,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_body-of-sphenoid-bone,body of sphenoid bone,,UBERON:0001677,sphenoid bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_calcaneal-sulcus-of-calcaneus,calcaneal sulcus of calcaneus,,UBERON:0001450,calcaneus,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_calcaneal-tuberosity-of-calcaneus,calcaneal tuberosity of calcaneus,,UBERON:0001450,calcaneus,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_carotid-canal-of-petrous-part-of-temporal-bone,carotid canal of petrous part of temporal bone,,UBERON:0001678,temporal bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_coccygeal-cornu-of-coccyx,coccygeal cornu of coccyx,,UBERON:0001350,coccyx,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
